"v"	"v2"	"first"	"second"	"palindromatic"
"basan"	"nasab"	28476	197086	FALSE
"bat"	"tab"	28867	314744	FALSE
"batik"	"kitab"	29019	165160	FALSE
"bats"	"stab"	29072	302142	FALSE
"baw"	"wab"	29256	361659	FALSE
"bb"	"bb"	29316	29316	TRUE
"bcd"	"dcb"	29320	77398	FALSE
"bch"	"hcb"	29322	134566	FALSE
"bd"	"db"	29324	77391	FALSE
"bed"	"deb"	29955	77684	FALSE
"beef"	"feeb"	30295	110841	FALSE
"beg"	"geb"	30568	123053	FALSE
"beid"	"dieb"	30863	85126	FALSE
"bels"	"sleb"	31293	293847	FALSE
"ben"	"neb"	31451	197646	FALSE
"bens"	"sneb"	31675	295417	FALSE
"ber"	"reb"	31958	262196	FALSE
"bf"	"fb"	33065	110569	FALSE
"bi"	"ib"	33134	145913	FALSE
"bib"	"bib"	33197	33197	TRUE
"bid"	"dib"	33493	84679	FALSE
"big"	"gib"	33682	124642	FALSE
"bim"	"mib"	34082	185689	FALSE
"bin"	"nib"	34153	199546	FALSE
"bins"	"snib"	34260	295472	FALSE
"bird"	"drib"	34734	93018	FALSE
"birne"	"enrib"	34862	100898	FALSE
"birt"	"trib"	34903	329200	FALSE
"bis"	"sib"	34931	289486	FALSE
"bit"	"tib"	35158	323150	FALSE
"bits"	"stib"	35224	304235	FALSE
"bk"	"kb"	35407	163465	FALSE
"bl"	"lb"	35417	169479	FALSE
"blay"	"yalb"	35636	145587	FALSE
"blocs"	"scolb"	36398	281069	FALSE
"blub"	"bulb"	36666	42395	FALSE
"bm"	"mb"	36919	181642	FALSE
"bn"	"nb"	36920	197576	FALSE
"bo"	"ob"	36922	209952	FALSE
"boar"	"raob"	36931	260676	FALSE
"bob"	"bob"	37036	37036	TRUE
"bobac"	"cabob"	37038	43981	FALSE
"boc"	"cob"	37112	61171	FALSE
"bod"	"dob"	37151	90544	FALSE
"bog"	"gob"	37276	127234	FALSE
"boh"	"hob"	37360	142080	FALSE
"bohor"	"rohob"	37375	273860	FALSE
"boy"	"yob"	37380	157409	FALSE
"bol"	"lob"	37491	174157	FALSE
"bom"	"mob"	37670	190925	FALSE
"bon"	"nob"	37760	200541	FALSE
"bonk"	"knob"	37925	165607	FALSE
"bons"	"snob"	37966	295629	FALSE
"boob"	"boob"	37992	37992	TRUE
"bood"	"doob"	38008	91483	FALSE
"bool"	"loob"	38140	175041	FALSE
"bop"	"pob"	38301	240904	FALSE
"bor"	"rob"	38314	273547	FALSE
"borer"	"rerob"	38422	268969	FALSE
"bos"	"sob"	38550	296038	FALSE
"bot"	"tob"	38657	324927	FALSE
"bots"	"stob"	38787	304890	FALSE
"bow"	"wob"	39128	366819	FALSE
